id,title,company,location,description,creation_date,actualisation_date,contract_type,required_experience,contact,source,url,competences
96fd92a2b46db3212a0cad46cf598d6901c6245a6ad8f84987b58714339cbfbc,CDI - Data Scientist - H/F,Médiaperformances,Courbevoie,"<p><strong>Les missions / les responsabilités</strong></p><p>En tant que Data Scientist Senior, vous jouerez un rôle stratégique dans l’exploitation de la donnée pour générer des insights à forte valeur ajoutée. Vous accompagnerez la prise de décision business, participerez au pilotage de projets complexes de modélisation et contribuerez activement à la structure de l’équipe Data Science.</p><ul><li><p>Concevoir, développer et participer à l’industrialisation des modèles prédictifs (machine learning : classification, moteur de recommandation, séries temporelles, …)</p></li><li><p>Apporter un appui technique aux Data Scientists juniors et contribuer à leur montée en compétences</p></li><li><p>Collaborer avec les équipes Data Engineering, Etudes, Marketing et DSI pour assurer l’intégration et la valorisation des solutions data</p></li><li><p>Assurer la qualité, la robustesse et la performance des modèles mis en production</p></li></ul><p><strong>Les principales tâches</strong></p><p><strong>Conception et développement de modèles prédictifs</strong></p><ul><li><p>Recueillir, comprendre et formaliser les problématiques métiers</p></li><li><p>Collecter, nettoyer et préparer des jeux de données complexes</p></li><li><p>Développer des pipelines de traitement de données et d’apprentissage automatique</p></li><li><p>Documenter les travaux et promouvoir les bonnes pratiques (code review, MLOps, versioning, reproductibilité…)</p></li></ul><p><strong>Assurer la qualité des modèles en production</strong></p><ul><li><p>Travailler étroitement avec les data engineers pour assurer la fiabilité des pipelines de données en entrée</p></li><li><p>Communiquer avec les équipes métier pour ajuster les objectifs de performance selon les besoins utilisateurs</p></li><li><p>Explorer des alternatives algorithmiques plus performantes ou plus stables</p></li><li><p>Réaliser des recettes en cas de changement de fonctionnalité majeure, pour s’assurer que la qualité des modèles est maintenue</p></li><li><p>Définir et mettre en œuvre des métriques de performance (ex. précision, rappel, ROC-AUC, RMSE, etc.) pertinentes pour chaque modèle</p></li><li><p>Déployer des dashboards de monitoring (via des outils comme Looker)</p></li><li><p>Documenter les incidents et les actions correctives</p></li></ul><p><strong>Assurer une veille technologique constante</strong></p><ul><li><p>Suivi des évolutions en data science, machine learning et IA</p></li><li><p>Veille sur les outils, frameworks et écosystèmes techniques</p></li></ul><p><strong>Participer à des études ad-hoc</strong></p><ul><li><p>Proposer des modèles statistiques dans le cas d’études rapides (POCs et études ad-hoc)</p></li><li><p>Collaborer activement avec les data scientists junior, senior et les métiers dans la définition de KPIs adaptés aux études ad-hoc et POCs</p></li><li><p>Documenter les travaux</p></li></ul>",2025-12-22T09:31:35Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/mediaperformances/jobs/cdi-data-scientist-h-f_courbevoie,"Travail d'équipe, Communication, Gestion des performances, Mécanique, Aptitude à résoudre les problèmes"
dbb31c4ebc3ad21ae5b40eb13e104c5857638115abaf1103f6ac4b3566ec9bee,Senior Data Scientist (Marketing) (m/f/d),Artefact,Paris,"<p><strong>Who we are</strong></p><p>Artefact is a leading global consulting company dedicated to accelerating the adoption of data and AI to positively impact people and organizations. We specialize in data transformation and data marketing to drive tangible business results across the entire enterprise value chain.</p><p>Artefact offers the most comprehensive set of data-driven solutions per industry, built on deep data science and cutting-edge AI technologies, delivering AI projects at scale in all industry sectors. From strategy to operations, we offer an end-to-end approach and solutions: data strategy, data quality and governance, data platforms, AI Factory, data-driven customer experience and marketing ROI.</p><p>Our 1500+ employees operate in 20 countries (Europe, Asia, Americas, Middle East, Africa) and we partner with 1000 clients, including some of the world&#39;s top 300 brands such as Samsung, L&#39;Oréal and Sanofi.</p><h3><strong>What you will be doing:</strong></h3><p>As a <strong>Senior Data Scientist</strong> <strong>specializing in the marketing domain,</strong> you will lead and conduct ambitious projects aimed at transforming clients through data. Your day-to-day responsibilities will include:</p><ul><li><strong>Leading transformational projects:</strong> spearheading ambitious projects that utilize data to transform our clients’ operations and strategies.</li><li><strong>Developing data science solutions:</strong> creating innovative data science products and solutions for both clients and our internal data science team.</li><li><strong>Applying data science in marketing contexts:</strong> leveraging data science methodologies to enhance <strong>marketing analytics, customer segmentation, attribution modeling, and campaign optimization</strong>. </li><li><strong>Building client relationships:</strong> collaborating closely with your Consulting counterpart to understand client needs and strengthen relationships.</li><li><strong>Upskilling the team:</strong> contributing to the development of our data science team by sharing knowledge, mentoring junior Data Scientists, and promoting our work within other data departments.</li><li><strong>Ensuring quality deliverables:</strong> caring for team morale and ensuring that all missions are delivered to a high standard, providing feedback and support to less experienced team members.</li><li><strong>Optimising code:</strong> writing highly optimized code to advance Artefact’s internal toolbox and knowledge base.</li></ul><h3><strong>What you will learn with us:</strong></h3><ul><li><strong>Real-World impact:</strong> deliver impactful projects by developing end-to-end machine learning pipelines to solve real-world problems across various industries<strong>, including marketing and customer intelligence. </strong></li><li><strong>Collaborative solutions:</strong> work in feature teams alongside other data scientists, ML engineers, data engineers, software engineers, and product owners to build complex solutions.</li><li><strong>Software engineering improvement:</strong> enhance your software engineering skills by applying ML Ops best practices while working with machine learning teams.</li><li><strong>Expertise development:</strong> become an expert in one of our data science practices: Time Series Forecasting, MLOps, NLP, Computer Vision, Optimization, or Customer Intelligence, including marketing analytics, attribution modeling, and incrementality testing.</li><li><strong>Algorithm discovery:</strong> discover state-of-the-art algorithms and test them on real-world data during client projects.</li></ul><h3><strong>What we are looking for:</strong></h3><p>We’re seeking someone who has:</p><ul><li><strong>Educational background:</strong> a completed Master’s degree in a relevant field (e.g., computer science, machine learning, mathematics, or related subjects).</li><li><strong>Hands-On experience:</strong> at least 2-3 years of experience in data science, analytics, or consulting, preferably within a marketing or digital context.</li><li><strong>Marketing or digital context experience:</strong> knowledge of various marketing channels and platforms, including their roles within the media mix is considered a plus. </li><li><strong>Technical skills:</strong> strong knowledge of data processing, algorithms, and data architecture, along with proficiency in tools like Python, SQL, and R.</li><li><strong>Analytical mindset:</strong> a passion for working with data to derive actionable insights and solve complex problems.</li><li><strong>Communication skills:</strong> excellent verbal and written communication skills, with the ability to discuss both technical and non-technical topics with clients and team members.</li><li><strong>Curiosity and passion:</strong> a genuine interest in continuous learning and exploring new technologies and tools in data and AI.</li></ul><h3><strong>Why you should join us:</strong></h3><ul><li><strong>Learning and development:</strong> join a team of passionate Data Scientists and Engineers who will support your growth and provide ample learning opportunities.</li><li><strong>Competitive rewards:</strong> enjoy a comprehensive benefits package, including a competitive salary, phone &amp; travel reimbursements.</li><li><strong>Work-Life balance:</strong> we offer flexibility with a hybrid working environment that lets you balance personal and professional commitments.</li><li><strong>Career growth opportunities:</strong> we’re committed to your professional development, offering continuous learning and internal promotion opportunities.</li><li><strong>Attractive benefits: </strong>hybrid work, flexible hours, 1 additional day off for your birthday, Christmas &amp; New Year&#39;s Eve off, mental health support, pension plan, 4 weeks of workation, corporate benefits, office brunch, team events, and more.</li></ul><h3><strong>Join us now and be part of the future:</strong></h3><p>Artefact is experiencing exciting growth, and this is the perfect time to join our dynamic team and contribute to our success story.<br/><strong>Come join us!</strong></p>",2025-12-20T22:20:36Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist-marketing-m-f-d_paris,
c51d5f9bc70f84964bd5765819abc29a8eb4cc2d1ebeda05a9a9a9bbf495f122,Data Scientist (H/F),Lidl France,Châtenay-Malabry,"<p></p><p></p><p></p><h2><u>Introduction</u></h2><p></p><p></p><p><span>Travailler chez Lidl, <strong>c’est bien plus qu’un job</strong> ! En rejoignant l’équipe Data &amp; AI au sein du service contrôle de gestion, tu participeras à l’amélioration de l’activité de Lidl France à travers des projets data science à fort impact opérationnel.</span></p><p></p><p></p><p></p><p></p><h2><u>Missions</u></h2><p></p><p></p><p><span>Afin d’atteindre tes objectifs en tant que <strong>Data Scientist</strong>, tes missions quotidiennes seront :</span></p><ul><li>Collaborer avec les services métier pour comprendre leurs besoins et concevoir les solutions data appropriées,</li><li>Concevoir et développer des modèles de machine learning (modèles de prédiction et d’optimisation) pour améliorer les processus opérationnels,</li><li>Accompagner et faciliter la mise en place de solutions internes en lien avec la gestion et l’exploitation des données,</li><li>Automatisation et amélioration de processus à l’aide d’outils plus performants (Python, SQL, AppScripts, Looker, etc.)</li><li>Curiosité pour explorer et proposer des cas d&#39;usage pertinents de l’IA pour nos activités.</li></ul><p></p><p></p><p></p><p></p><h2><u>Profil</u></h2><p></p><p></p><p><span>Au-delà de tes expériences professionnelles, <strong>nous recherchons avant tout une personnalité.<br/></strong></span></p><ul><li>Tu es reconnu(e) pour ton <strong>organisation</strong>, ta <strong>rigueur</strong> et ta <strong>capacité</strong> <strong>d’analyse</strong> ?</li><li>Tu es doté(e) d’un bon <strong>relationnel</strong>, tu es <strong>autonome</strong> et aimes <strong>travailler en équipe </strong>?</li></ul><p><span>Si tu as répondu oui à ces questions, alors n’hésite pas à rejoindre la #TeamLidl.</span></p><p><span>Pour candidater à un poste de<strong> Data Scientist</strong>, il te faudra :</span></p><ul><li>Être diplômé(e) d’une école d’Ingénieur/université spécialisée dans le domaine de la <strong>science des données</strong></li><li>Avoir<strong> au moins 2 ans d’expérience </strong>(hors alternance) dans un poste de data scientist<strong> </strong></li><li>Avoir une maitrise avancée des langages de programmation <strong>Python et SQL</strong> et de ses bibliothèques</li><li>Avoir une solide compréhension théorique ainsi qu’une application pratique des algorithmes de Machine Learning et de Deep Learning.</li><li>Avoir une bonne compréhension des concepts fondamentaux des modèles de langage (LLMs) et de l&#39;IA générative, une première expérience utilisant les API de ces modèles est un plus.</li><li>Être doté d’une bonne capacité à traduire des analyses complexes en visualisations claires et pertinentes à l&#39;aide d&#39;outils de Data Visualisation.</li><li>Avoir une expérience pratique avec la suite GCP.</li><li>Parler couramment <strong>l’anglais</strong>, l’allemand est un plus.</li></ul><p></p><p></p><p></p><p></p><h2><u>Rejoindre Lidl</u></h2><p></p><p></p><p><span>Nous reconnaissons le travail et l’investissement de chacun en te proposant :</span></p><ul><li>Un accord <strong>télétravail</strong> : 2 jours par semaine après 3 mois d&#39;ancienneté.</li><li>Un <strong>restaurant d’entreprise</strong> et une <strong>cafeteria</strong>.</li><li>Une <strong>salle de sport</strong> avec 3 espaces : fitness, CrossFit, cours collectifs.</li><li>Une <strong>formation</strong> à notre concept et à nos outils.</li></ul><p> </p><p> </p><p><span>Rejoindre Lidl, c’est également rejoindre une entreprise certifiée TOP Employer depuis 2019 ! Ce Label récompense notre politique RH, nos engagements en termes d’égalité Femme/Homme, de diversité &amp; d’inclusion, mais également le travail de nos équipes sur le terrain au quotidien. </span></p><p><span>Tous nos postes sont ouverts aux personnes en situation de handicap. Selon les besoins spécifiques de chacun, un aménagement matériel et/ou organisationnel du poste de travail sera étudié.</span></p><p></p><p></p><p></p>",2025-12-20T03:00:29Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/lidl-fr/jobs/data-scientist-h-f_chatenay-malabry,
47761550bec5f4cb6681653d5909242495d6740f0c8bfcf942e025cfb48a116c,Data Scientist,L'informatique aux Finances publiques,Besancon,"<p><strong>En tant que Data Scientist, vous rejoindrez une équipe passionnée par la technologie et contribuerez aux grands enjeux du numérique de demain.</strong></p><p>Vous serez amené(e) à penser l’innovation, réfléchir sur les données, les mutualiser et les exploiter.</p><p>En rejoignant notre collectif, vous bénéficierez d’un environnement de travail stimulant, où il fait bon vivre et (télé)travailler. <strong>Et nous recrutons en CDD et CDI !</strong></p><p><strong>POSTULEZ à nos offres d’emploi :</strong>  <a target=""_blank"" rel=""noopener noreferrer"" href=""https://choisirleservicepublic.gouv.fr/nos-offres/filtres/mot-cles/esi/organisme/974/"">https://choisirleservicepublic.gouv.fr/nos-offres/filtres/mot-cles/esi/organisme/974/</a></p><p><strong>Vos missions principales :</strong></p><ul><li><p>Appliquer des techniques d’extraction d’analyse d’informations, obtenues à partir de gisement de données</p></li><li><p>Trouver les sources de données pertinentes</p></li><li><p>Faire des recommandations sur les bases de données à consolider, modifier, rapatrier</p></li><li><p>Évaluer la quantité et la richesse des données, les analyser et en restituer les résultats pour les intégrer dans le système d’information cible du métier</p></li><li><p>Analyser les données pour traduire une problématique métier en problème mathématique/statistique</p></li><li><p>Comparer et évaluer différents modèles ou méthode de calcul et anticiper les avantages et les inconvénients dans un environnement métier</p><hr/></li></ul><hr/>",2025-12-22T14:30:24Z,,OTHER,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/informatique-aux-finances-publiques/jobs/data-scientist,
2369b6d47c318cb164f1f2b6eff5bff487d1d1f69096d9a630377f95c18077a1,Geospatial Data Scientist,AXA Climate,Paris,"<h3>Altitude</h3><p>Altitude solution was launched in September 2022. It is three products, connected on one single data platform. It is enabling CSR/ESG teams to screen climate and nature related risks and opportunities within minutes, very easy to use, and fully automated.</p><ul><li><p>Altitude Finance: dedicated for Infrastructure and Private Equity funds,</p></li><li><p>Altitude Industry: dedicated for corporates,</p></li><li><p>Altitude Agriculture: dedicated for food &amp; Ag.</p></li></ul><p>Recently Altitude has enhanced its activities with consulting dedicated to Financial customers. To foster and leverage this new line of business, Altitude is looking for a Geospatial Data Scientist.</p><p>You can know more about all our products here: <a target=""_blank"" rel=""noopener noreferrer"" href=""http://www.axa-altitude.com/""><strong>www.axa-altitude.com</strong></a></p><h3>The Data Team &amp; You</h3><p>The Data Team of Altitude is in charge of the whole chain of production of climate data services from developping state-of-the-art climate models and algorithms to putting in production scalable API to request this data.</p><p>Under the supervision of the Head of Data, you will deliver high-quality technical solutions :</p><ul><li><p>Scale the algorithms developed by the climatologists and data scientists of the team.</p></li><li><p>Ensure the monitoring and the execution of the data acquisition pipelines.</p></li><li><p>Develop the relevant tools to support the consulting activities to Financial customers.</p></li><li><p>Innovate in terms of the data &amp; analysis for the consulting business : value proposition &amp; business development.</p></li></ul>",2025-12-22T13:22:02Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/axa-climate/jobs/geospatial-data-scientist_paris_AC_qYaKZbj,
e06eb94936ba60d9a037719f5d4642207f4e756d60c15b6e40ffaf8b359f638b,Ingénieur.e Datascientist F/H,VINCI Construction,Nanterre,"<p>En tant que Data Scientist expérimenté.e, rattaché.e au département Instrumentation &amp; Intelligence Artificielle, vous intégrerez le Centre de Recherche du groupe VINCI Construction, constitué d’une équipe pluridisciplinaire de 35 collaborateurs. Vous aurez pour mission de piloter et réaliser des projets data au service des métiers de la construction, et d’assurer la valorisation technique des travaux via des présentations ou publications.</p><p> </p><p>Sous la responsabilité du responsable de la section, vous devrez :</p><ul><li>Piloter et réaliser des projets de data science appliquée aux métiers de la construction (optimisation de procédés, détection d’anomalies, maintenance prédictive, etc.) ;</li><li>Mettre en place des chaînes de traitement de données (ETL) à partir de sources diverses (capteurs, rapports de chantiers, imagerie, documents textuels, etc.) ;</li><li>Développer des modèles de machine learning / deep learning pour l’analyse de données structurées et non structurées, y compris des projets intégrant du traitement automatique du langage naturel (NLP) ;</li><li>Appliquer des techniques de NLP pour extraire de la valeur des documents techniques, rapports de chantiers, notes d’essais, comptes rendus de réunions, etc. ;</li><li>Utiliser et intégrer des outils de la stack NLP (spaCy, Hugging Face Transformers, NLTK, LangChain, LlamaIndex) dans des workflows métiers ;</li><li>Concevoir des preuves de concept de plateformes d’analyse et de visualisation (API, dashboards interactifs) ;</li><li>Assurer un support technique aux autres départements de recherche dans le cadre de la digitalisation de nos activités (mise en base, modélisation prédictive, traitement automatique de données d’essais, classification ou résumé de documents) ;</li><li>Participer à la communication scientifique et technique des travaux (présentations internes et externes, documents de vulgarisation, etc.) ;</li><li>Rédiger des articles scientifiques ou techniques, et représenter le centre lors de congrès ou réunions de la profession.</li></ul>",2025-12-21T22:19:29Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/vinci-construction-fr/jobs/ingenieur-e-datascientist-f-h_nanterre,
87c7d45178193411f07abfd80e144c1840d97937d77a705ac3aa6784d49b9b30,ANALYSTES DATA SCIENCE ET STATISTIQUES - H/F,Banque de France,Paris,"<p><span>Au sein d&#39;équipes pluridisciplinaires dirigées par un inspecteur, chef de mission, vous mènerez des travaux de contrôle au sein des établissements de crédit et serez chargé en priorité d&#39;analyser et porter un regard critique sur les dispositifs adoptés par les banques françaises pour se conformer aux exigences réglementaires en matière de modélisation du risque de crédit (modèles IRB, IFRS). Ces travaux requièrent, entre autres, d&#39;apprécier la performance statistique des modèles proposés et la qualité des données qu&#39;il utilisent.</span></p><p><span>Pour ce faire, vous serez en contact permanent avec le management des établissements vérifiés. Vous développerez un vaste champ de compétences dans un environnement professionnel évolutif et ouvert à l&#39;international, en participant à des missions variées qui vous assureront une expérience valorisante. Les missions sont susceptibles de se dérouler en France ou à l&#39;étranger.</span></p><p><span>Par ailleurs, vous pourrez également participer aux travaux conduits au sein du MSU ou de l&#39;ACPR dans le cadre de sa réflexion sur le dispositif réglementaire existant et ses perspectives d&#39;évolution</span></p>",2025-12-22T01:50:24Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/analystes-data-science-et-statistiques-h-f_paris-9e-arrondissement,
5b3daabb43f0178d9813abf95a8eeefa291b1cdea9b8aa0d901756818cb6cbe8,Lead AI and Data Science,PIGMENT,Paris,"<p><span><b>Join Pigment: The AI Platform Redefining Business Planning</b></span></p><p><span>Pigment is the AI-powered business planning and performance management platform built for agility and scale. We connect people, data, and processes in one intuitive, feature-rich solution, empowering every team—from Finance to HR—to build, adapt, and align strategic plans in real time.</span></p><p><span>Founded in 2019, Pigment is one of the fastest-growing SaaS companies globally. Industry leaders like Unilever, Snowflake, Siemens, and DPD use Pigment daily to make more informed decisions and confidently navigate any scenario.</span></p><p><span>With a team of 500+ across Paris, London, New York, San Francisco, and Toronto, we&#39;ve raised nearly $400M from top-tier investors and were named a Visionary in the 2024 Gartner® Magic Quadrant™ for Financial Planning Software.</span></p><p><span>At Pigment, we take smart risks, celebrate bold ideas, and challenge the status quo—all while working as one team. If you&#39;re driven by innovation and ready to make an impact at scale, we’d love to hear from you.</span></p><p><b>Role overview :</b></p><p><span>As </span><b>Lead of AI</b><span>, you will define and execute Pigment’s AI vision. Your mission is to identify and lead high-impact AI opportunities, while personally contributing to core projects in a fast-paced, execution-driven environment. </span></p><p><span>This is a hybrid strategic and hands-on role: you will mentor (and potentially manage) a team of AI engineers and data scientists while being involved as an Individual Contributor (IC).We are looking for a strong doer who can also communicate and influence across teams, and turn vision into real, shipped product. You will architect, prototype, and help ship meaningful product innovations powered by AI.</span></p><p><span>The current projects involve mostly Generative AI (Agentic systems and Retrieval-based pipelines) as well as traditional ML (Forecasting and Optimization). We use Python, leverage external LLM services, and orchestrate agents with LangGraph.</span></p><p><span>🎧</span><a target=""_blank"" rel=""noopener noreferrer"" href=""https://podcasts.apple.com/dk/podcast/196-pigment-monter-l%C3%A9quipe-genai-appliqu%C3%A9e-au-produit/id1539383194?i=1000703455136"">Listen to our podcast on Pigment’s GenAI team</a></p><p><span>📖</span><a target=""_blank"" rel=""noopener noreferrer"" href=""https://engineering.pigment.com/2024/10/31/agentic-ai-for-data-analysis/"">Read more about our vision: Agentic AI for Data Analysis</a></p><h3>Key Responsibilities</h3><li><b>Technology Scouting &amp; Strategy</b></li><p>Lead the AI/ML technology watch: monitor, evaluate, and prioritize trends (e.g., LLMs, agents, retrieval systems).</p><p>Translate cutting-edge AI advancements into business-impacting use cases.</p><p>Contribute to product strategy by identifying where AI creates competitive advantage.</p><li><b>Architecture &amp; Evaluation Framework</b></li><p>Define and oversee Pigment’s AI architecture (MLOps, evaluation, observability, model testing).</p><p>Establish frameworks to assess new technologies (benchmarks, ROI, legal/ethical constraints).</p><p>Actively take part in the discussions about scalability, robustness, and maintainability of all AI <a target=""_blank"" rel=""noopener noreferrer"" href=""http://systems.Strategize"">systems.</a></p><p>Strategize company-level data quality and access</p><li><b>Team Leadership &amp; Enablement</b></li><p>Mentor, support recruitment and grow a team of Data Scientists and ML Engineers.</p><p>Drive AI adoption across Pigment’s teams (Product, Engineering, Design, GTM).</p><p>Develop internal tools, best practices, and documentation to support AI integration.</p><h3>What We’re Looking For</h3><li><b>Strategic Thinking</b></li><p>Ability to translate technical trends into actionable business strategy.</p><p>Analytical and structured approach to problem-solving and prioritization.</p><p>Comfortable operating at both strategic and execution levels.</p><li><b>Hands-on Technical Expertise</b></li><p>Proven experience building and deploying production-level ML systems, backed by solid data engineering practices.</p><p>Strong understanding of experimentation, evaluation metrics, and model governance.</p><li><b>Leadership</b></li><p>Excellent communication skills, capable of influencing technical and non-technical stakeholders.</p><p>Collaborative leader with a vision and the ability to drive alignment.</p><p>Capacity to lead projects and mentor other engineers</p><li><b>Nice to Have</b></li><p>Experience in People Management</p><p>Track record of public contributions (open source, publications, conferences/meet-up)</p><p>We are looking for someone who can demonstrate several successful experiences in a similar position for at least 7 years.</p><p><span><i>We conduct background checks as part of our hiring process, in accordance with applicable laws and regulations in the countries where we operate. This may include verification of employment history, education, and, where legally permitted, criminal records. Any checks will be conducted lawfully prior to formal employment contracts being signed, with candidate consent, and information will be treated confidentially.</i></span></p><p><i>Pigment is an equal opportunity employer. We believe diversity is a strength and fosters innovation. We are committed to enabling everyone to feel included and  valued at the workplace.  All qualified applicants will receive consideration for employment without regard to age, color, family, gender identity, marital status, national origin, physical or mental disability,  sex (including pregnancy), sexual orientation, social origin, or any other characteristic protected by applicable laws. We may process your personal data in accordance with our </i><i><span><a target=""_blank"" rel=""noopener noreferrer"" href=""https://get.gopigment.com/hubfs/Pigment%20-%20Recruitment%20and%20Employment%20Data%20Protection%20Notice.pdf"">HR Data Protection Notice</a></span></i><i>.</i></p>",2025-12-20T05:00:18Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/pigment/jobs/senior-lead-of-ai-data-science_paris,
2d1210d8a75d80fa62890a61ad068da3926ab07bc2ba7cf680087caa9d04239e,Consultant.e en Data / IA,Artik Consulting,Issy-les-Moulineaux,"<p>Dans le cadre du développement de notre offre en Data / Intelligence Artificielle, nous recherchons nos <a target=""_blank"" rel=""noopener noreferrer"" href=""http://futur.es"">futur.es</a> Consultant.e.s Data / IA.<br/>Vous contribuerez à structurer et déployer l’offre IA d’Artik Consulting.<br/>Vos principales activités seront les suivantes :</p><ul><li><p>Intervenir sur des missions de conseil et d’intégration dans le domaine de l’IA et de la Data : conception de solutions RAG, fine-tuning LLM, mise en place de pipelines ML, intégration d’outils IA, IA agentique…</p></li><li><p>Participer à la qualification des besoins Data / IA des clients et prendre en charge les aspects techniques : cadrage, architecture, choix des modèles, pipelines ML, évaluation et sécurité des modèles ;</p></li><li><p>Accompagner nos ingénieurs d’affaires dans le cadre de leur activité de prospection et de vente de notre offre Data / IA ;</p></li><li><p>Faire évoluer notre offre Data / IA en fonction des avancées technologiques du domaine.</p></li><li><p>Vous participerez à la montée en compétences et à l’acculturation de nos autres consultants dans le domaine de l’IA.</p><p>  <strong>Informations Complémentaires</strong></p><ul><li><p><strong>Type de Contrat :</strong> CDI.</p></li><li><p><strong>Date de Prise de Poste :</strong> Dès que Possible.</p></li><li><p><strong>Localisation :</strong> ISSY-LES-MOULINEAUX (RER C et Tramway T2 – station Issy-Val de Seine).</p></li><li><p><strong>Rémunération :</strong> À partir de 60 000 €.</p><p>  <strong>Pourquoi Nous Rejoindre ?</strong><br/>  Chez Artik, vous intégrerez une équipe à taille humaine dynamique, volontaire, avec un management proche des équipes. Chaque année, nous planifions deux voyages en France ou à l’étranger ! Nous organisons également des événements réguliers et originaux (tels que le lancer de hache, le laser Game et le ping-pong !).</p><p>  <strong>Vous vous retrouvez dans cette offre ? Alors n’hésitez plus, et postulez pour embarquer dans l’aventure Artikienne !</strong></p></li></ul></li></ul>",2025-12-19T17:04:36Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/artik-consulting/jobs/consultant-e-en-data-ia_issy-les-moulineaux,
9a7c3afebe707bfaf41c9c491a2a482787b882a404905916c3eaa49e630e4a33,DBI - CDI - CONSULTANT DATA SCIENTIST - H/F,Havas France,Puteaux,"<p>Dans le cadre de son hyper croissance, HAVAS DBi, l’agence conseil en data marketing du Groupe Havas, recherche un <b>Consultant</b> <b>Data scientist</b>.</p><ul><li><p>2 ans d&#39;expérience minimum dans le domaine de la data science et du data marketing.</p></li><li><p>Rôle clé dans une agence en pleine croissance, avec une expertise sur des projets innovants. En étroite collaboration avec les équipes conseil et data engineering.</p></li></ul><p><i>Etablie en 2005, HAVAS Data Business Intelligence rayonne au sein d’un réseau international. </i></p><p><i>Au service du business de ses clients, HAVAS DBi transforme la data en actif stratégique pour les acteurs d’un grand nombre de secteurs (Orange, EDF, Groupe Crédit Agricole, Hyundai Kia, Michelin, Canal+, …). L’équipe regroupe les meilleurs talents du marché : consultants data en stratégie, data project managers, data analystes, data engineers, data scientists et experts de la data visualisation.</i></p><p><u>Responsabilités Principales :</u></p><p><b>I) Expertise en Data Science :</b></p><ul><li><p>Mettre en œuvre des techniques de machine learning et d&#39;apprentissage profond pour résoudre des problèmes complexes.</p></li><li><p>Utiliser des outils et des langages de data science tels que Python, R et TensorFlow.</p></li><li><p>Développer des modèles prédictifs, des recommandations personnalisées et des analyses avancées.</p></li></ul><p><b>II) Intelligence Artificielle Générative :</b></p><ul><li><p>Posséder un point de vue en intelligence artificielle générative, y compris la génération de contenu textuel, d&#39;images, ou d&#39;autres types de données.</p></li></ul><p><b>III) Conseil:</b></p><ul><li><p>Comprendre les besoins des clients et concevoir des solutions de data science et d&#39;intelligence artificielle adaptées.</p></li><li><p>Participer à des présentations et des discussions avec les clients pour expliquer les avantages de nos offres en matière de data science et d&#39;IA.</p></li></ul><p><u>Compétences &amp; formation</u> :</p><ul><li><p>Diplôme en informatique, en statistiques, en mathématiques ou dans un domaine connexe.</p></li><li><p>Minimum de 2 ans d&#39;expérience en data science.</p></li><li><p>Connaissance des techniques de machine learning, de l&#39;apprentissage profond.</p></li><li><p>Solides compétences en programmation avec des langages tels que Python, R, et TensorFlow.</p></li><li><p>Expérience dans le développement de modèles prédictifs et de recommandations personnalisées.</p></li><li><p>Capacité à travailler dans un environnement dynamique et à s&#39;adapter rapidement aux évolutions technologiques.</p></li></ul><p><u>Savoir être</u> :</p><ul><li><p>Capacité à travailler efficacement avec des équipes marketing, fonctionnelles et techniques.</p></li><li><p>Maîtrise de l&#39;anglais à un niveau courant.</p></li><li><p>Rigueur, autonomie, gestion des priorités, esprit d&#39;équipe et sens de l&#39;organisation.</p></li><li><p>Compréhension approfondie des enjeux et des impacts des projets dans le secteur du marketing.</p></li><li><p>Aisance orale et sens de la relation client</p></li></ul><p><u>Avantages</u> :</p><ul><li><p>Un environnement de travail dynamique et collaboratif.</p></li><li><p>Possibilité de contribuer à des projets innovants en data science et en IA générative.</p></li><li><p>Formation continue et développement professionnel.</p></li></ul><p>Des possibilités d’évolutions de carrière dans un groupe international.</p><p><b>Prêt à relever ce nouveau challenge ?</b></p><p>Rejoignez notre équipe en postulant dès maintenant sur cette annonce</p><p><b>Ensemble, nous pouvons faire la différence.</b></p><p>Vous ferez partie d&#39;une entreprise qui garantit l&#39;égalité des chances et valorise la diversité.</p><p>#LI-HL1</p>",2025-12-19T22:00:57Z,,FULL_TIME,,,Welcome to the Jungle,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/dbi-full_time-havas-dbi-cdi-data-marketing-consultant-senior-h-f_puteaux,
