id,title,company,creation_date,location,contract_type,experience,description,url,source
73950120,Data Scientist H/F,Direct assurance,22/12/2025,Paris - 75,CDI,Exp. 1 à 7 ans,"SPIRICA, jeune société d'assurance, est une filiale du groupe Crédit Agricole Assurances qui conçoit, gère et commercialise des produits d'assurance vie épargne (contrats d'assurance vie multi supports / Euros, PERin, contrats de capitalisation). SPIRICA a réalisé en 2024, plus de 3 milliards d'Euros de collecte et détient 15 milliards d'Euros d'encours. En pleine croissance, elle compte aujourd'hui plus de 130 collaborateurs à Paris et Lyon. Dans le cadre de son développement, SPIRICA recherche un(e) data scientist en Contrat à Durée Indéterminée. En étroite collaboration avec la Direction de l'Innovation, le service Data, au sein de la Direction de l'Actuariat, IFRS 17 et Data, intervient comme un véritable laboratoire scientifique pour initier, développer, superviser et maintenir les projets Data et IA stratégiques de l'entreprise avec un fonctionnement souple en mode projet ; lui permettant ainsi d'adresser les cas d'usage avec une méthodologie précise : expérimenter, industrialiser, communiquer. Le service Data recherche donc un(e) candidat(e) qui agira comme un réel pilier sur l'ensemble des thématiques Data Science / IA. Au contact de toutes les directions de l'entreprise, il se verra confier des missions qu'il devra piloter et superviser de bout en bout. Il sera capable d'évoluer dans un environnement dynamique et n'hésitera pas à solliciter les différents interlocuteurs et référents pour faire avancer les projets dont il aura la responsabilité. Proactivité, polyvalence et esprit d'innovation seront les maîtres mots qui guideront le candidat à travers ses différentes missions et lui permettront de concevoir des outils stratégiques et à forte valeur ajoutée pour les métiers et la direction. A titre d'exemple, voici certains projets IA menés par la direction : - Extraction automatique de données IBAN - Extraction automatique de données de pièces d'identité - Extraction automatique de données de justificatifs de domicile - Lecture de QR codes De manière plus générale, les missions confiées au candidat(e) seront : - Concevoir des algorithmes appropriés / développer des modèles / briques IA pour répondre aux demandes des Métiers - Réaliser des études de faisabilité pour de nouveaux cas d'usage IA - Monitorer la performance des modèles existants. Optimiser et maintenir les modèles - Participer à la communication sur les travaux menés par le service ainsi qu'aux différentes actions d'acculturation - Documenter les travaux menés, mettre à jour la documentation - Effectuer une veille technologique en data science / IA. Identifier et évaluer les techniques émergentes en IA Critères de candidature Poste avec management : Non Cadre / Non Cadre : Cadre Niveau d'étude minimum : Bac +5 / M2 et plus Formation / Spécialisation : Vous êtes diplômé d'un Bac +5 en Data Science ou équivalent.Vous justifiez d'une expérience minimum de 1-2 ans dans le poste cible. Niveau d'expérience minimum : 0 - 2 ans Soft skills : Nous recherchons notamment un candidat empreint d'une culture « geek » doté d'un esprit curieux et créatif qui saura se distinguer grâce à sa polyvalence et son aisance relationnelle. L'autonomie, la proactivité et l'organisation seront des qualités valorisées pour ce poste. Exposé tant devant un public métier qu'un public scientifique et/ou technique, le candidat devra jouir d'une bonne communication et d'une aisance à l'oral. Outils informatiques : La maîtrise de python est essentielle MLOps : Docker, CI/CD Outils de développement et de versionning : Visual Studio, Git Cloud : AWS / Azure / GCP La connaissance des différentes méthodes et techniques de gestion de projet est un plus",https://www.hellowork.com/fr-fr/emplois/73950120.html,Hellowork
73904369,Data Scientist H/F,Seenovate,19/12/2025,Rennes - 35,CDI,Exp. 2 à 5 ans,"Venez relever de nouveaux défis chez Groupama Loire Bretagne ! Dans un monde en constante évolution, Groupama Loire Bretagne souhaite poursuivre ses travaux en Intelligence Artificielle. Nous sommes actuellement à la recherche d'un(e) Data Scientist / Développeur.euse IA pour enrichir notre équipe basée à Rennes. Ce poste est une opportunité unique de contribuer à des projets d'IA à fort impact, au sein d'une entreprise reconnue pour son dynamisme et son engagement envers ses collaborateurs. Pour éviter toute déception, cette offre est réservée à des profils expérimentés, ayant déjà eu l'occasion de mettre en oeuvre le développement de projet IA et le « fine tunning » de modèles IA, avec une expérience professionnelle minimum de 2 ans post diplôme. Vos principales missions · Développement de modèles : Utiliser et adapter les modèles d'IA du marché pour répondre aux défis commerciaux et opérationnels de l'entreprise. · Traitement du langage naturel (NLP) et IA générative : Exploiter les données textuelles pour générer des insights pertinents et développer des solutions innovantes, en mettant un accent particulier sur le NLP et, si vous avez cette compétence, l'IA générative. · Gestion de projet : Travailler en étroite collaboration avec les autres départements pour comprendre leurs besoins en matière de data science et proposer des solutions adaptées. · Veille technologique : Rester à l'avant-garde des avancées en IA et machine learning, en incorporant les dernières recherches et technologies dans nos solutions. Pourquoi nous rejoindre ? Groupama Loire Bretagne vous offre un cadre de travail stimulant et enrichissant, où vos compétences seront valorisées et où votre carrière pourra prendre un nouvel élan. Nous nous engageons à fournir à nos collaborateurs un environnement de travail bienveillant et propice à l'innovation. Situés à Rennes, nous bénéficions d'un cadre favorisant l'équilibre entre vie professionnelle et personnelle. Vous serez rattaché.e à la Responsable Automatisation Intelligente au sein du service Data Intelligence, qui regroupe les différents métiers de la Data : décisionnel, flux de données, études, IA. Candidature Si vous êtes prêt.e à relever ce défi passionnant, envoyez-nous votre CV accompagné d'une lettre de motivation expliquant pourquoi vous êtes un profil pertinent pour ce poste. Nous sommes impatients de découvrir comment vous pourrez contribuer à notre succès ! Groupama Loire Bretagne s'engage pour l'égalité des chances et valorise la diversité au sein de ses équipes. Process de recrutement Tri des candidatures sur CV Pré-qualification téléphonique (à partir du 12 janvier 2026) Entretiens de recrutement le jeudi 22 janvier 2026 au siège à Rennes avec la responsable opérationnelle Test technique et second entretien avec le N+2 (responsable du service). Profil recherché · Expérience : Vous avez au moins 2 ans d'expérience dans le domaine de l'IA, avec des compétences solides en développement de modèles de machine learning. Une expérience en NLP ou IA générative est un atout. · Autonomie et proactivité : Vous êtes capable de mener des projets de front, de prendre des initiatives et de proposer des solutions innovantes. · Capacité d'analyse et esprit critique : Vous aimez déchiffrer les données pour en extraire des insights pertinents, et vous avez l'esprit suffisamment critique pour questionner et améliorer constamment vos méthodes de travail. · Bonne communication : Vous savez communiquer vos idées de manière claire et convaincante, tant à l'écrit qu'à l'oral, et vous êtes à l'aise pour collaborer avec des équipes non techniques.",https://www.hellowork.com/fr-fr/emplois/73904369.html,Hellowork
73955262,Data Scientist H/F,Direct assurance,22/12/2025,Paris 15e - 75,CDI,Exp. 2 ans,"Dans le cadre de son développement, SPIRICA recherche un(e) data scientist en Contrat à Durée Indéterminée. En étroite collaboration avec la Direction de l'Innovation, le service Data, au sein de la Direction de l'Actuariat, IFRS 17 et Data, intervient comme un véritable laboratoire scientifique pour initier, développer, superviser et maintenir les projets Data et IA stratégiques de l'entreprise avec un fonctionnement souple en mode projet ; lui permettant ainsi d'adresser les cas d'usage avec une méthodologie précise : expérimenter, industrialiser, communiquer. Le service Data recherche donc un(e) candidat(e) qui agira comme un réel pilier sur l'ensemble des thématiques Data Science / IA. Au contact de toutes les directions de l'entreprise, il se verra confier des missions qu'il devra piloter et superviser de bout en bout. Il sera capable d'évoluer dans un environnement dynamique et n'hésitera pas à solliciter les différents interlocuteurs et référents pour faire avancer les projets dont il aura la responsabilité. Proactivité, polyvalence et esprit d'innovation seront les maîtres mots qui guideront le candidat à travers ses différentes missions et lui permettront de concevoir des outils stratégiques et à forte valeur ajoutée pour les métiers et la direction. A titre d'exemple, voici certains projets IA menés par la direction : - Extraction automatique de données IBAN - Extraction automatique de données de pièces d'identité - Extraction automatique de données de justificatifs de domicile - Lecture de QR codes De manière plus générale, les missions confiées au candidat(e) seront : - Concevoir des algorithmes appropriés / développer des modèles / briques IA pour répondre aux demandes des Métiers - Réaliser des études de faisabilité pour de nouveaux cas d'usage IA - Monitorer la performance des modèles existants. Optimiser et maintenir les modèles - Participer à la communication sur les travaux menés par le service ainsi qu'aux différentes actions d'acculturation - Documenter les travaux menés, mettre à jour la documentation - Effectuer une veille technologique en data science / IA. Identifier et évaluer les techniques émergentes en IA Vous êtes diplômé d'un Bac +5 en Data Science ou équivalent et vous justifiez d'une expérience minimum de 1-2 ans dans le poste cible. Nous recherchons notamment un candidat empreint d'une culture « geek » doté d'un esprit curieux et créatif qui saura se distinguer grâce à sa polyvalence et son aisance relationnelle. L'autonomie, la proactivité et l'organisation seront des qualités valorisées pour ce poste. Exposé tant devant un public métier qu'un public scientifique et/ou technique, le candidat devra jouir d'une bonne communication et d'une aisance à l'oral. Compétences techniques : - La maîtrise de python est essentielle - MLOps : Docker, CI/CD - Outils de développement et de versionning : Visual Studio, Git - Cloud : AWS / Azure / GCP - La connaissance des différentes méthodes et techniques de gestion de projet est un plus",https://www.hellowork.com/fr-fr/emplois/73955262.html,Hellowork
73935875,Data Scientist H/F,N/A,22/12/2025,Belgique,CDI,Exp. 3 ans min.,"Nous recherchons un(e) Data Scientist capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data. Gourou de la donnée, vous vous amusez à faire parler les données et à les mettre au service des entreprises. Vous êtes donc à la croisée d'enjeux fonctionnels et stratégiques : Vous aurez la charge de : - Étudier des données en possession de l'entreprise - Définir et récupérer des données pertinentes à extraire et à traiter en lien avec la production de l'entreprise, la vente ou encore liées aux données clients - Développer des algorithmes permettant d'améliorer les résultats de recherches et de ciblages - Élaborer des modèles prédictifs afin d'anticiper l'évolution des données et tendances relatives à l'activité de l'entreprise En tant que Data Scientist H/F vous maîtrisez : - L'architecture des bases de données décisionnelles (data warehouse) - Les mathématiques appliquées : construire des algorithmes pour améliorer les résultats de recherches et de ciblages - Les statistiques Et vous disposez : - De solides compétences en programmation informatique (Python, Java...) - D'une expertise en algorithmie et gestion des bases de données (NoSQL, Cassandra...) - De la connaissance des méthodologies agiles Diplômé(e) d'une école d'ingénieur ou d'une université, vous justifiez d'au minimum 3 ans d'expérience professionnelle dans un contexte projet Data. Rigoureux(se), proactif(ve) et autonome vous restez en veille technologique et êtes force de proposition. Vous êtes capable de prendre de la hauteur et vous adapter aux enjeux du projet. Une excellente maîtrise du français et de l' anglais est attendue, ainsi qu'une bonne maîtrise du néerlandais. Ref: bpb8cznia3",https://www.hellowork.com/fr-fr/emplois/73935875.html,Hellowork
73807370,Data Scientist H/F,Direct assurance,17/12/2025,Montrouge - 92,CDI,Exp. 2 ans min.,"Au croisement des enjeux du numérique et de la filière nucléaire, rejoignez un groupe à la dimension internationale, champion de la croissance bas carbone et activement engagé dans la lutte contre le réchauffement climatique ! La Direction Numérique de l'ingénierie et des projets nucléaires met à disposition de ses clients industriels des solutions applicatives adaptées à leurs besoins, en proposant des méthodologies modernes liées aux évolutions numériques. Rejoignez le pôle Data, chargé d'accompagner les métiers de l'Ingénierie et des Projets Nucléaires dans le développement des usages de la DATA et de l'IA, tout au long des étapes de conception, de construction et de mise en service des nouvelles installations nucléaires. Vos missions : Contribuer au développement des usages de la DATA et de l'IA dans tous nos domaines d'activités : management des projets, conception des installations, fabrication des équipements en lien avec les fournisseurs, construction et essais sur les chantiers. Plus précisément : Identifier les besoins des acteurs métiers, nombreux et variés, les aider à les caractériser et les conseiller sur les possibilités pour y répondre au mieux. Proposer et développer de nouveaux modèles de Data Science et d'IA, en utilisant les solutions mises à disposition par le Groupe EDF. Les cas d'usage exploratoires ou industriels qui vous seront confiés pourront porter sur des données structurées ou non, de nature différente selon le cas : données de conception, de planning, de coûts. Communiquer sur les cas d'usage réalisés, au travers d'articles ou d'interventions, en mettant en avant les gains associés pour les métiers. Contribuer aux actions d'acculturation des métiers à la DATA et à l'IA et à des sessions visant à faire émerger de nouvelles idées de cas d'usage DATA & IA. En tant que membre du réseau des Data Scientists du Groupe EDF, vous pourrez échanger des expériences et des bonnes pratiques avec vos pairs et bénéficierez de la veille technologique du Groupe. De formation Bac +5, Master universitaire ou école d'ingénieur, avec une spécialisation en Data Science, Statistiques, Informatique ou équivalent, avec de solides compétences en statistiques, mathématiques et informatique. Des connaissances approfondies en data science et une expérience d'au moins 3 ans en tant que Data Scientist sont requis. Curiosité et ouverture Autonomie, force de proposition, initiative Bonnes qualités relationnelles, collaboration et communication, pédagogie Sens du client Pourquoi nous rejoindre ? Une équipe à taille humaine, professionnelle et variée, où nous travaillons de manière collaborative, en mode agile, avec la possibilité de télétravailler jusqu'à 50% du temps et du management visuel. Package salarial : rémunération brute annuelle comprise entre 38K€ et 50K€ en fonction de vos diplômes et de votre expérience, primes variables de performance, épargne salariale et intéressement Les avantages complémentaires : tarif énergie, couverture santé et prévention, activités sociales de l'entreprise Innovation : relevez des défis techniques et industriels de pointe dans une filière engagée et innovante. Développement professionnel : un parcours d'intégration et des opportunités de formation et de développement professionnel tout au long de votre carrière. Impact : contribuez à des projets qui façonnent l'avenir de l'énergie durable. Dans le groupe EDF accueillir des personnes en situation de handicap fait partie de notre ADN. Notre objectif est d'ouvrir nos portes à toutes les compétences, toutes les énergies et toutes les personnalités sans exclusion. Le poste proposé est donc ouvert à toutes et à tous.",https://www.hellowork.com/fr-fr/emplois/73807370.html,Hellowork
73719628,Data Scientist H/F,Seenovate,15/12/2025,Bordeaux - 33,CDI,Exp. 1 à 7 ans,"En postulant à cette offre, vous aurez l'opportunité de rejoindre une entreprise technologique innovante et early-stage (équipe de 4 aujourd'hui, une dizaine en 2026) qui a levé 4 millions d'euros. L'entreprise se concentre sur l'exploitation des systèmes énergétiques basés sur la donnée pour accélérer la transition vers la neutralité carbone dans l'immobilier tertiaire. Ils recherchent leur premier Data Scientist pour rejoindre l'équipe et travailler étroitement avec le Founding Engineer. Ce rôle clé vise à construire et faire évoluer leur plateforme de données. Vos missions si vous les acceptez : - Développer et implémenter des modèles de machine learning pour prédire, recommander et optimiser la performance des systèmes énergétiques (par exemple, les besoins en énergie des bâtiments). - Collaborer avec le Founding Engineer pour définir l'architecture de données à long terme et assurer son intégration technique. - Mener l'exploration de nouvelles sources de données et méthodologies pour améliorer la précision et l'efficacité des modèles. - Travailler avec les équipes transverses pour transformer les besoins métier en solutions basées sur la donnée. - Assurer la qualité des données, la sécurité et la conformité aux standards de l'industrie. Avantages Il en faut plus pour vous convaincre ? - Une opportunité unique de rejoindre une entreprise early-stage à fort impact face au changement climatique. - Travailler en étroite collaboration avec des co-fondateurs expérimentés et passionnés. - Construire des produits de données avec un haut degré d'autonomie et de responsabilité (ownership). - Contribuer concrètement à la transition énergétique et à la décarbonation de l'immobilier à grande échelle. - Un package compétitif, incluant une partie variable en complément du salaire de base (50K€-80K€ + variable max. 5K€). - Un environnement de travail flexible, basé à Paris ou Bordeaux, avec télétravail partiel autorisé. - Postulez pour en savoir plus sur les perspectives de carrière et les avantages (mutuelle premium Alan, carte Swile pour les repas). Et vous ? - Vous avez un diplôme d'ingénieur (Bac +5). - Vous possédez au moins 5 ans d'expérience dans la construction et le déploiement de produits de données. - Vous avez une expérience avérée en Data Science dans des sujets liés à l'énergie ou aux pompes à chaleur. - Vous maîtrisez Python et/ou TypeScript, TensorFlow/Pytorch. - Vous avez de l'expérience avec AWS et ML Ops. - Vous avez l'habitude de travailler avec des données IoT (Internet des Objets) ou des analyses de séries temporelles (time-series analysis). - Vous êtes entrepreneurial, autonome, hands-on et vous vous épanouissez dans un environnement de startup en forte croissance. - Vous êtes un excellent communicant, capable d'expliquer des concepts techniques complexes à des parties prenantes non techniques. - Une connaissance du secteur de l'énergie (achats, flexibilité, CVC/HVAC, GTB/BMS) est un atout.",https://www.hellowork.com/fr-fr/emplois/73719628.html,Hellowork
73719612,Data Scientist H/F,Direct assurance,15/12/2025,Paris 4e - 75,CDI,Exp. 1 à 7 ans,"En postulant à cette offre, vous aurez l'opportunité de rejoindre une entreprise technologique innovante et early-stage (équipe de 4 aujourd'hui, une dizaine en 2026) qui a levé 4 millions d'euros. L'entreprise se concentre sur l'exploitation des systèmes énergétiques basés sur la donnée pour accélérer la transition vers la neutralité carbone dans l'immobilier tertiaire. Ils recherchent leur premier Data Scientist pour rejoindre l'équipe et travailler étroitement avec le Founding Engineer. Ce rôle clé vise à construire et faire évoluer leur plateforme de données. Vos missions si vous les acceptez : - Développer et implémenter des modèles de machine learning pour prédire, recommander et optimiser la performance des systèmes énergétiques (par exemple, les besoins en énergie des bâtiments). - Collaborer avec le Founding Engineer pour définir l'architecture de données à long terme et assurer son intégration technique. - Mener l'exploration de nouvelles sources de données et méthodologies pour améliorer la précision et l'efficacité des modèles. - Travailler avec les équipes transverses pour transformer les besoins métier en solutions basées sur la donnée. - Assurer la qualité des données, la sécurité et la conformité aux standards de l'industrie. Avantages Il en faut plus pour vous convaincre ? - Une opportunité unique de rejoindre une entreprise early-stage à fort impact face au changement climatique. - Travailler en étroite collaboration avec des co-fondateurs expérimentés et passionnés. - Construire des produits de données avec un haut degré d'autonomie et de responsabilité (ownership). - Contribuer concrètement à la transition énergétique et à la décarbonation de l'immobilier à grande échelle. - Un package compétitif, incluant une partie variable en complément du salaire de base (50K€-80K€ + variable max. 5K€). - Un environnement de travail flexible, basé à Paris ou Bordeaux, avec télétravail partiel autorisé. - Postulez pour en savoir plus sur les perspectives de carrière et les avantages (mutuelle premium Alan, carte Swile pour les repas). Et vous ? - Vous avez un diplôme d'ingénieur (Bac +5). - Vous possédez au moins 5 ans d'expérience dans la construction et le déploiement de produits de données. - Vous avez une expérience avérée en Data Science dans des sujets liés à l'énergie ou aux pompes à chaleur. - Vous maîtrisez Python et/ou TypeScript, TensorFlow/Pytorch. - Vous avez de l'expérience avec AWS et ML Ops. - Vous avez l'habitude de travailler avec des données IoT (Internet des Objets) ou des analyses de séries temporelles (time-series analysis). - Vous êtes entrepreneurial, autonome, hands-on et vous vous épanouissez dans un environnement de startup en forte croissance. - Vous êtes un excellent communicant, capable d'expliquer des concepts techniques complexes à des parties prenantes non techniques. - Une connaissance du secteur de l'énergie (achats, flexibilité, CVC/HVAC, GTB/BMS) est un atout.",https://www.hellowork.com/fr-fr/emplois/73719612.html,Hellowork
73719648,Data Scientist H/F,Direct assurance,15/12/2025,Paris 4e - 75,CDI,Exp. 1 à 7 ans,"En postulant à cette offre, vous aurez l'opportunité de rejoindre une entreprise technologique innovante et early-stage (équipe de 4 aujourd'hui, une dizaine en 2026) qui a levé 4 millions d'euros. L'entreprise se concentre sur l'exploitation des systèmes énergétiques basés sur la donnée pour accélérer la transition vers la neutralité carbone dans l'immobilier tertiaire. Ils recherchent leur premier Data Scientist pour rejoindre l'équipe et travailler étroitement avec le Founding Engineer. Ce rôle clé vise à construire et faire évoluer leur plateforme de données. Vos missions si vous les acceptez : - Développer et implémenter des modèles de machine learning pour prédire, recommander et optimiser la performance des systèmes énergétiques (par exemple, les besoins en énergie des bâtiments). - Collaborer avec le Founding Engineer pour définir l'architecture de données à long terme et assurer son intégration technique. - Mener l'exploration de nouvelles sources de données et méthodologies pour améliorer la précision et l'efficacité des modèles. - Travailler avec les équipes transverses pour transformer les besoins métier en solutions basées sur la donnée. - Assurer la qualité des données, la sécurité et la conformité aux standards de l'industrie. Avantages Il en faut plus pour vous convaincre ? - Une opportunité unique de rejoindre une entreprise early-stage à fort impact face au changement climatique. - Travailler en étroite collaboration avec des co-fondateurs expérimentés et passionnés. - Construire des produits de données avec un haut degré d'autonomie et de responsabilité (ownership). - Contribuer concrètement à la transition énergétique et à la décarbonation de l'immobilier à grande échelle. - Un package compétitif, incluant une partie variable en complément du salaire de base (50K€-80K€ + variable max. 5K€). - Un environnement de travail flexible, basé à Paris ou Bordeaux, avec télétravail partiel autorisé. - Postulez pour en savoir plus sur les perspectives de carrière et les avantages (mutuelle premium Alan, carte Swile pour les repas). Et vous ? - Vous avez un diplôme d'ingénieur (Bac +5). - Vous possédez au moins 5 ans d'expérience dans la construction et le déploiement de produits de données. - Vous avez une expérience avérée en Data Science dans des sujets liés à l'énergie ou aux pompes à chaleur. - Vous maîtrisez Python et/ou TypeScript, TensorFlow/Pytorch. - Vous avez de l'expérience avec AWS et ML Ops. - Vous avez l'habitude de travailler avec des données IoT (Internet des Objets) ou des analyses de séries temporelles (time-series analysis). - Vous êtes entrepreneurial, autonome, hands-on et vous vous épanouissez dans un environnement de startup en forte croissance. - Vous êtes un excellent communicant, capable d'expliquer des concepts techniques complexes à des parties prenantes non techniques. - Une connaissance du secteur de l'énergie (achats, flexibilité, CVC/HVAC, GTB/BMS) est un atout.",https://www.hellowork.com/fr-fr/emplois/73719648.html,Hellowork
73879459,Data Scientist H/F,FAYAT ENERGIES SERVICES,19/12/2025,Lille - 59,N/A,Exp. 3 ans min.,"Contexte Un projet pilote est lancé afin d'évaluer l'impact de l'implantation d'un concurrent sur le chiffre d'affaires d'un point de vente. L'objectif est de fournir des indicateurs permettant d'adapter les stratégies commerciales, marketing et d'aménagement. Rôle et responsabilités Intégré à une équipe data, le consultant interviendra comme référent technique du POC. Il sera notamment chargé de : - Développer un modèle de prédiction de l'impact concurrentiel sur le chiffre d'affaires. - Analyser les effets de cannibalisation et identifier les segments de clientèle les plus exposés. - Exploiter des données de consommation et des historiques de ventes pour alimenter les analyses. - Produire des analyses géographiques à un niveau de précision fin. Profil recherché - Expérience confirmée en data science et en machine learning supervisé. - Maîtrise de Python, d'environnements cloud data (GCP) et du traitement de données volumineuses. - Une connaissance du secteur retail et du géomarketing est un plus. - Intérêt pour les outils de cartographie et d'analyse spatiale. - Maîtrise de l'anglais.",https://www.hellowork.com/fr-fr/emplois/73879459.html,Hellowork
73653940,Data Scientist H/F,Sanofi,12/12/2025,La Défense - 92,Stage,Exp. 1 à 7 ans,"Vos missions au quotidien FRANFINANCE, acteur majeur du crédit à la consommation en France, est une filiale à 100% du GROUPE SOCIÉTÉ GÉNÉRALE. Elle propose des solutions de financement innovantes et responsables à destination des particuliers et des partenaires. Le stage s'inscrit au sein de la Direction des Risques, dans l'équipe Data Science & Risques Crédit Conso, composée d'une quinzaine de collaborateurs (data scientists, data analysts, ingénieurs risques). L'environnement est dynamique, collaboratif, avec des circuits de décision courts favorisant l'autonomie et l'innovation. - Poursuivre le développement d'une application Python Shiny dédiée à l'automatisation du backtesting des modèles réglementaires et d'octroi de crédit. - Concevoir et implémenter des interfaces interactives permettant de visualiser et d'analyser les résultats de backtesting. - Développer des modules de calcul et d'automatisation pour fiabiliser et optimiser les processus de backtesting des modèles. - Documenter les développements réalisés et proposer des pistes d'amélioration pour l'industrialisation et la maintenabilité de l'outil. - Contribuer à l'intégration de l'application dans l'écosystème existant (bases de données, outils de reporting, workflows internes) Ce que nous vous apporterons - Une immersion dans l'univers du crédit à la consommation et du risque. - Un accompagnement pour transformer vos connaissances académiques en applications opérationnelles. - Un environnement stimulant, entouré d'experts passionnés par leurs métiers Et si c'était vous ? - Étudiant(e) en école d'ingénieur (5 année) ou en Master 2 en statistiques, data science, mathématiques appliquées ou informatique décisionnelle. - Solide maîtrise de Python, avec une expérience en développement d'applications interactives (idéalement avec Shiny for Python). - Connaissances en traitement et analyse de données. - La maîtrise de SAS est un plus. - Esprit d'analyse, rigueur, autonomie et sens du travail en équipe. Et si c'était vous ? - Étudiant(e) en école d'ingénieur (5 année) ou en Master 2 en statistiques, data science, mathématiques appliquées ou informatique décisionnelle. - Solide maîtrise de Python, avec une expérience en développement d'applications interactives (idéalement avec Shiny for Python). - Connaissances en traitement et analyse de données. - La maîtrise de SAS est un plus. - Esprit d'analyse, rigueur, autonomie et sens du travail en équipe.",https://www.hellowork.com/fr-fr/emplois/73653940.html,Hellowork
